region_id,region_name,avg_inflow,avg_inflow_pop_pct,total_inflow,n_decades
5101,Norte Mato-grossense,103754.45811754465,28.013368167814203,415017.8324701786,4
1402,Sul de Roraima,8340.829449146986,21.462540360878414,33363.317796587944,4
1102,Leste Rondoniense,82208.05762585998,17.311661372095173,328832.2305034399,4
5204,Leste Goiano,120589.56129351258,17.307817706456465,482358.24517405033,4
1506,Sudeste Paraense,123362.83645290136,17.132209141945264,493451.34581160545,4
5102,Nordeste Mato-grossense,23790.243514209986,13.967829848881692,95160.97405683994,4
1101,Madeira-Guaporé,49056.01252102852,13.300067833127098,196224.05008411407,4
1505,Sudoeste Paraense,30023.848840415478,13.047899450655606,120095.39536166191,4
5301,Distrito Federal,210937.33332809806,12.921475954111221,843749.3333123922,4
1401,Norte de Roraima,23993.228638917208,12.872029277796786,95972.91455566883,4
