region_id,region_name,avg_inflow,avg_inflow_pop_pct,total_inflow,n_decades
1101,Madeira-Guaporé,49056.01252102852,13.300067833127098,196224.05008411407,4
1102,Leste Rondoniense,82208.05762585998,17.311661372095173,328832.2305034399,4
1201,Vale do Juruá,2391.7203387618065,1.516473730310698,9566.881355047226,4
1202,Vale do Acre,15302.668774813414,4.732323745290658,61210.675099253654,4
1301,Norte Amazonense,2408.1692848205566,2.766874410255636,9632.677139282227,4
1302,Sudoeste Amazonense,3655.5649704039097,1.3158464606550262,14622.259881615639,4
1303,Centro Amazonense,70121.00652486086,3.916220894955467,280484.02609944344,4
1304,Sul Amazonense,6772.459163784981,2.9872457766913603,27089.836655139923,4
1401,Norte de Roraima,23993.228638917208,12.872029277796786,95972.91455566883,4
1402,Sul de Roraima,8340.829449146986,21.462540360878414,33363.317796587944,4
1501,Baixo Amazonas,25599.11666971445,4.588328225576053,102396.4666788578,4
1502,Marajó,8533.182554841042,2.481373124634807,34132.730219364166,4
1503,Metropolitana de Belém,109412.75536614656,6.50042017604836,437651.02146458626,4
1504,Nordeste Paraense,45214.3741402328,3.3714151816810447,180857.4965609312,4
1505,Sudoeste Paraense,30023.848840415478,13.047899450655606,120095.39536166191,4
1506,Sudeste Paraense,123362.83645290136,17.132209141945264,493451.34581160545,4
1601,Norte do Amapá,3105.890838444233,8.774056473050152,12423.563353776932,4
1602,Sul do Amapá,28869.20794507861,8.185862241712496,115476.83178031445,4
1701,Ocidental do Tocantins,62276.9385420382,9.285649586810855,249107.7541681528,4
1702,Oriental do Tocantins,37947.47279703617,10.164872709168387,151789.89118814468,4
2101,Norte Maranhense,58276.75072389841,3.052904931654732,233107.00289559364,4
2102,Oeste Maranhense,78153.67996329069,8.082699303049658,312614.71985316277,4
2103,Centro Maranhense,31611.767006754875,3.949652860125151,126447.0680270195,4
2104,Leste Maranhense,34684.2092936337,3.172485935891283,138736.8371745348,4
2105,Sul Maranhense,13384.261984288692,5.566488446989661,53537.04793715477,4
2201,Norte Piauiense,18214.698532819748,3.3369481528246645,72858.79413127899,4
2202,Centro-Norte Piauiense,51935.40464434028,4.478917446686596,207741.6185773611,4
2203,Sudoeste Piauiense,15936.427870362997,3.5922148072962443,63745.71148145199,4
2204,Sudeste Piauiense,13513.941544175148,2.9804980809620525,54055.76617670059,4
2301,Noroeste Cearense,29322.335277587175,2.595579138214464,117289.3411103487,4
2302,Norte Cearense,31172.62383940816,3.765848513191623,124690.49535763264,4
2303,Metropolitana de Fortaleza,165692.03023403883,7.427140305199217,662768.1209361553,4
2304,Sertões Cearenses,26052.307204961777,3.2198903951675995,104209.2288198471,4
