region_id,region_name,avg_outflow,avg_outflow_pop_pct,total_outflow,n_decades
1101,Madeira-Guaporé,24944.292542666197,6.604171121034424,99777.17017066479,4
1102,Leste Rondoniense,53694.97069743276,7.004661798699451,214779.88278973103,4
1201,Vale do Juruá,8097.34857571125,5.675620839416217,32389.394302845,4
1202,Vale do Acre,11090.505034208298,3.3668627033087093,44362.02013683319,4
1301,Norte Amazonense,2814.124422252178,3.183356197788869,11256.497689008713,4
1302,Sudoeste Amazonense,8879.239299446344,3.327280756312511,35516.95719778538,4
1303,Centro Amazonense,40675.42694723606,2.2946675286178713,162701.70778894424,4
1304,Sul Amazonense,12857.10617530346,5.948970301673583,51428.42470121384,4
1401,Norte de Roraima,8152.350812137127,3.8158237441853724,32609.403248548508,4
1402,Sul de Roraima,3343.6984783113003,6.01419450793132,13374.793913245201,4
1501,Baixo Amazonas,38389.283384889364,6.437433371459402,153557.13353955746,4
1502,Marajó,20026.909979373217,5.551556319543178,80107.63991749287,4
1503,Metropolitana de Belém,86441.51742967963,4.838777960590905,345766.0697187185,4
1504,Nordeste Paraense,77648.72806817293,5.859032551089942,310594.9122726917,4
1505,Sudoeste Paraense,26277.28474536538,8.472616687059611,105109.13898146152,4
1506,Sudeste Paraense,69887.36119776964,7.169294406213663,279549.44479107857,4
1601,Norte do Amapá,2141.027562648058,6.379847150445916,8564.110250592232,4
1602,Sul do Amapá,11575.458144277334,3.30190344606888,46301.83257710934,4
1701,Ocidental do Tocantins,65340.13689672947,9.542383168187056,261360.54758691788,4
1702,Oriental do Tocantins,28347.407877177,8.475982984841224,113389.631508708,4
2101,Norte Maranhense,76428.56316685677,4.030061042184911,305714.25266742706,4
2102,Oeste Maranhense,96398.96868494153,9.045809408180768,385595.8747397661,4
2103,Centro Maranhense,78999.85438099504,9.801084193418012,315999.41752398014,4
2104,Leste Maranhense,80048.70729187131,7.315532941155875,320194.82916748524,4
2105,Sul Maranhense,18866.50798240304,8.266615486114416,75466.03192961216,4
2201,Norte Piauiense,37005.49533471465,6.926872380696272,148021.9813388586,4
2202,Centro-Norte Piauiense,67808.22861981392,5.826893566988577,271232.9144792557,4
