region_id,region_name,avg_outflow,avg_outflow_pop_pct,total_outflow,n_decades
4102,Centro Ocidental Paranaense,74256.68159711361,19.556446691937616,297026.72638845444,4
4101,Noroeste Paranaense,114288.99567881227,16.237643731525353,457155.98271524906,4
5201,Noroeste Goiano,29656.150214463472,14.11534715043625,118624.60085785389,4
4104,Norte Pioneiro Paranaense,75532.38226535916,13.497011435287561,302129.52906143665,4
5202,Norte Goiano,35311.03542017937,13.19392201614285,141244.14168071747,4
4106,Oeste Paranaense,137226.04681134224,13.182464459258487,548904.187245369,4
4107,Sudoeste Paranaense,62479.30250316858,12.598935993046425,249917.21001267433,4
3104,Vale do Mucuri,47507.61608058214,12.330698160584094,190030.46432232857,4
5103,Sudoeste Mato-grossense,27897.185427606106,11.553392504847636,111588.74171042442,4
3201,Noroeste Espírito-santense,41866.439520299435,11.19383689361175,167465.75808119774,4
