decade,orig_id,outflow,orig_pop,orig_name,outflow_pop_pct
1980,3303,19864.0,354123.0,Centro Fluminense,5.609350423440443
1980,3304,11858.0,225485.0,Baixadas,5.258886400425749
1980,3305,32979.0,678243.0,Sul Fluminense,4.862416567513414
1980,3306,299954.0,9276408.0,Metropolitana do Rio de Janeiro,3.233514524156333
1980,3501,104143.0,1040241.0,São José do Rio Preto,10.011430043614894
1980,3502,78508.0,1348482.0,Ribeirão Preto,5.82195387109357
1980,3503,69759.0,491392.0,Araçatuba,14.196201810367283
1980,3504,79958.0,888789.0,Bauru,8.99628595763449
1980,3505,28718.0,450997.0,Araraquara,6.367669851462426
1980,3506,42941.0,750394.0,Piracicaba,5.722460467434441
1980,3507,100237.0,1927820.0,Campinas,5.199499953315144
1980,3508,105193.0,683087.0,Presidente Prudente,15.39964894662027
1980,3509,49516.0,327550.0,Marília,15.11708136162418
1980,3510,67768.0,381005.0,Assis,17.78664321990525
1980,3511,39691.0,522116.0,Itapetininga,7.601950524404539
1980,3512,72002.0,1273426.0,Macro Metropolitana Paulista,5.654195846480282
1980,3513,55559.0,1221221.0,Vale do Paraíba Paulista,4.549463201173252
1980,3514,20305.0,241369.0,Litoral Sul Paulista,8.412430759542444
1980,3515,685754.0,13494185.0,Metropolitana de São Paulo,5.0818482183251525
1980,4101,234753.0,746543.0,Noroeste Paranaense,31.445342063350672
1980,4102,148577.0,406734.0,Centro Ocidental Paranaense,36.52927957829933
1980,4103,329562.0,1459566.0,Norte Central Paranaense,22.5794517000259
1980,4104,140206.0,571713.0,Norte Pioneiro Paranaense,24.523843257018818
1980,4105,40401.0,472655.0,Centro Oriental Paranaense,8.547672192190921
1980,4106,243536.0,960775.0,Oeste Paranaense,25.347870208945903
1980,4107,76412.0,521269.0,Sudoeste Paranaense,14.658842171700217
1980,4108,58918.0,484245.0,Centro-Sul Paranaense,12.166981589897675
1980,4109,30096.0,302530.0,Sudeste Paranaense,9.948104320232705
1980,4110,107313.0,1703819.0,Metropolitana de Curitiba,6.298380285699361
1980,4201,61110.0,931330.0,Oeste Catarinense,6.561583971309847
1980,4202,31225.0,610697.0,Norte Catarinense,5.113010216195593
1980,4203,43096.0,349638.0,Serrana,12.325891350482499
1980,4204,41261.0,723221.0,Vale do Itajaí,5.705171724825468
1980,4205,26576.0,446281.0,Grande Florianópolis,5.954992482314954
1980,4206,37350.0,567125.0,Sul Catarinense,6.585849680405555
1980,4301,187707.0,1905566.0,Noroeste Rio-grandense,9.850459128678828
1980,4302,49240.0,648540.0,Nordeste Rio-grandense,7.5924384000986835
1980,4303,44850.0,430890.0,Centro Ocidental Rio-grandense,10.408688992550303
1980,4304,57867.0,585851.0,Centro Oriental Rio-grandense,9.877426171500945
1980,4305,92251.0,2877991.0,Metropolitana de Porto Alegre,3.2053957083257036
1980,4306,52512.0,606267.0,Sudoeste Rio-grandense,8.661530315850937
1980,4307,40035.0,718744.0,Sudeste Rio-grandense,5.570133455027102
