decade,dest_id,inflow,dest_pop,dest_name,inflow_pop_pct
1980,3302,15574.0,527590.0,Norte Fluminense,2.951913417615952
1980,3303,19265.0,354123.0,Centro Fluminense,5.440200156442818
1980,3304,26944.0,225485.0,Baixadas,11.949353615539836
1980,3305,59665.0,678243.0,Sul Fluminense,8.796994587485607
1980,3306,387144.0,9276408.0,Metropolitana do Rio de Janeiro,4.173425748414688
1980,3501,75201.0,1040241.0,São José do Rio Preto,7.229190158818966
1980,3502,116843.0,1348482.0,Ribeirão Preto,8.664780100883808
1980,3503,47843.0,491392.0,Araçatuba,9.73621874185986
1980,3504,87125.0,888789.0,Bauru,9.802664074375357
1980,3505,57565.0,450997.0,Araraquara,12.76394299740353
1980,3506,94418.0,750394.0,Piracicaba,12.582456682755993
1980,3507,316147.0,1927820.0,Campinas,16.399197020468716
1980,3508,58030.0,683087.0,Presidente Prudente,8.495257558700429
1980,3509,35122.0,327550.0,Marília,10.722637765226683
1980,3510,33008.0,381005.0,Assis,8.663403367409877
1980,3511,41924.0,522116.0,Itapetininga,8.029633261574057
1980,3512,197615.0,1273426.0,Macro Metropolitana Paulista,15.518373270217507
1980,3513,131305.0,1221221.0,Vale do Paraíba Paulista,10.751944160803
1980,3514,30622.0,241369.0,Litoral Sul Paulista,12.686799050416582
1980,3515,1303182.0,13494185.0,Metropolitana de São Paulo,9.657359818321744
1980,4101,64106.0,746543.0,Noroeste Paranaense,8.587047229697419
1980,4102,43319.0,406734.0,Centro Ocidental Paranaense,10.650449679643206
1980,4103,133935.0,1459566.0,Norte Central Paranaense,9.17635790365081
1980,4104,30937.0,571713.0,Norte Pioneiro Paranaense,5.411281534616145
1980,4105,46238.0,472655.0,Centro Oriental Paranaense,9.782610995334863
1980,4106,125092.0,960775.0,Oeste Paranaense,13.019905805209337
1980,4107,35465.0,521269.0,Sudoeste Paranaense,6.803588933928547
1980,4108,52933.0,484245.0,Centro-Sul Paranaense,10.931036975084925
1980,4109,17769.0,302530.0,Sudeste Paranaense,5.8734670941724785
1980,4110,238503.0,1703819.0,Metropolitana de Curitiba,13.99814182140239
1980,4201,58097.0,931330.0,Oeste Catarinense,6.238068139112881
1980,4202,72143.0,610697.0,Norte Catarinense,11.813223251465129
1980,4203,15651.0,349638.0,Serrana,4.47634410447377
1980,4204,47760.0,723221.0,Vale do Itajaí,6.603790542586568
1980,4205,44316.0,446281.0,Grande Florianópolis,9.930066482776546
1980,4206,25109.0,567125.0,Sul Catarinense,4.42741899933877
1980,4301,46733.0,1905566.0,Noroeste Rio-grandense,2.452447199414767
1980,4302,42237.0,648540.0,Nordeste Rio-grandense,6.51262836525118
1980,4303,26412.0,430890.0,Centro Ocidental Rio-grandense,6.129638654877115
1980,4304,28691.0,585851.0,Centro Oriental Rio-grandense,4.897320308406062
1980,4305,248221.0,2877991.0,Metropolitana de Porto Alegre,8.624801119947907
1980,4306,29247.0,606267.0,Sudoeste Rio-grandense,4.824112148607791
1980,4307,24388.0,718744.0,Sudeste Rio-grandense,3.3931413688322962
1980,5001,17461.0,182157.0,Pantanais Sul Mato-grossense,9.585687072141065
1980,5002,80641.0,416408.0,Centro Norte de Mato Grosso do Sul,19.36586232733281
1980,5003,35449.0,212720.0,Leste de Mato Grosso do Sul,16.664629559984956
1980,5004,90083.0,558484.0,Sudoeste de Mato Grosso do Sul,16.129915986850115
1980,5101,97888.0,164472.0,Norte Mato-grossense,59.516513449097715
1980,5102,22717.0,102027.0,Nordeste Mato-grossense,22.26567477236418
1980,5103,34801.0,177765.0,Sudoeste Mato-grossense,19.57696959468962
1980,5104,59152.0,474722.0,Centro-Sul Mato-grossense,12.460345212566512
1980,5105,25883.0,219932.0,Sudeste Mato-grossense,11.76863757888802
1980,5201,26118.0,196848.0,Noroeste Goiano,13.268105340160936
1980,5202,29546.0,238423.0,Norte Goiano,12.392260813763773
1980,5203,159695.0,1571958.0,Centro Goiano,10.158986436024373
1980,5204,67389.0,328653.0,Leste Goiano,20.504605161066536
1980,5205,52273.0,785243.0,Sul Goiano,6.656920214506847
1980,5301,268717.0,1176908.0,Distrito Federal,22.83245589289902
1990,1101,52005.40319263935,306816.0,Madeira-Guaporé,16.950029722256776
1990,1102,84115.01284646988,645635.0,Leste Rondoniense,13.028260990570505
