state,period,group,population,population_thousands,proxy
AL,1980,stayer,1509597.0,1509.597,Proxy: state of birth
AM,1980,immigrant,111752.0,111.752,Proxy: state of birth
AM,1980,emigrant,97067.0,97.067,Proxy: state of birth
AM,1980,stayer,1044187.0,1044.187,Proxy: state of birth
AP,1980,immigrant,46509.0,46.509,Proxy: state of birth
AP,1980,emigrant,13533.0,13.533,Proxy: state of birth
AP,1980,stayer,94447.0,94.447,Proxy: state of birth
BA,1980,immigrant,439561.0,439.561,Proxy: state of birth
BA,1980,emigrant,1870621.0,1870.621,Proxy: state of birth
BA,1980,stayer,7442923.0,7442.923,Proxy: state of birth
CE,1980,immigrant,195153.0,195.153,Proxy: state of birth
CE,1980,emigrant,1078899.0,1078.899,Proxy: state of birth
CE,1980,stayer,4282301.0,4282.301,Proxy: state of birth
DF,1980,immigrant,770549.0,770.549,Proxy: state of birth
DF,1980,emigrant,44615.0,44.615,Proxy: state of birth
DF,1980,stayer,219543.0,219.543,Proxy: state of birth
ES,1980,immigrant,317304.0,317.304,Proxy: state of birth
ES,1980,emigrant,512588.0,512.588,Proxy: state of birth
ES,1980,stayer,1415315.0,1415.315,Proxy: state of birth
GO,1980,immigrant,866949.0,866.949,Proxy: state of birth
GO,1980,emigrant,385402.0,385.402,Proxy: state of birth
GO,1980,stayer,2409458.0,2409.458,Proxy: state of birth
MA,1980,immigrant,441890.0,441.89,Proxy: state of birth
MA,1980,emigrant,484907.0,484.907,Proxy: state of birth
MA,1980,stayer,2842932.0,2842.932,Proxy: state of birth
MG,1980,immigrant,624729.0,624.729,Proxy: state of birth
MG,1980,emigrant,3946599.0,3946.599,Proxy: state of birth
MG,1980,stayer,10923304.0,10923.304,Proxy: state of birth
MS,1980,immigrant,475697.0,475.697,Proxy: state of birth
MS,1980,emigrant,103985.0,103.985,Proxy: state of birth
MS,1980,stayer,678684.0,678.684,Proxy: state of birth
MT,1980,immigrant,448718.0,448.718,Proxy: state of birth
MT,1980,emigrant,137906.0,137.906,Proxy: state of birth
MT,1980,stayer,502276.0,502.276,Proxy: state of birth
PA,1980,immigrant,491433.0,491.433,Proxy: state of birth
PA,1980,emigrant,190116.0,190.116,Proxy: state of birth
PA,1980,stayer,2304617.0,2304.617,Proxy: state of birth
PB,1980,immigrant,161178.0,161.178,Proxy: state of birth
PB,1980,emigrant,939257.0,939.257,Proxy: state of birth
PB,1980,stayer,2181883.0,2181.883,Proxy: state of birth
PE,1980,immigrant,391546.0,391.546,Proxy: state of birth
PE,1980,emigrant,1458239.0,1458.239,Proxy: state of birth
PE,1980,stayer,4821779.0,4821.779,Proxy: state of birth
PI,1980,immigrant,147235.0,147.235,Proxy: state of birth
PI,1980,emigrant,512453.0,512.453,Proxy: state of birth
PI,1980,stayer,1631669.0,1631.669,Proxy: state of birth
PR,1980,immigrant,2037704.0,2037.704,Proxy: state of birth
PR,1980,emigrant,1156066.0,1156.066,Proxy: state of birth
PR,1980,stayer,4488985.0,4488.985,Proxy: state of birth
RJ,1980,immigrant,2493331.0,2493.331,Proxy: state of birth
RJ,1980,emigrant,475913.0,475.913,Proxy: state of birth
RJ,1980,stayer,7271096.0,7271.096,Proxy: state of birth
RN,1980,immigrant,134505.0,134.505,Proxy: state of birth
RN,1980,emigrant,420760.0,420.76,Proxy: state of birth
RN,1980,stayer,1482596.0,1482.596,Proxy: state of birth
RO,1980,immigrant,305072.0,305.072,Proxy: state of birth
RO,1980,emigrant,15244.0,15.244,Proxy: state of birth
RO,1980,stayer,95837.0,95.837,Proxy: state of birth
RR,1980,immigrant,22569.0,22.569,Proxy: state of birth
RR,1980,emigrant,4972.0,4.972,Proxy: state of birth
RR,1980,stayer,41709.0,41.709,Proxy: state of birth
RS,1980,immigrant,176695.0,176.695,Proxy: state of birth
RS,1980,emigrant,878798.0,878.798,Proxy: state of birth
RS,1980,stayer,6659842.0,6659.842,Proxy: state of birth
SC,1980,immigrant,406235.0,406.235,Proxy: state of birth
SC,1980,emigrant,571489.0,571.489,Proxy: state of birth
SC,1980,stayer,2738180.0,2738.18,Proxy: state of birth
SE,1980,immigrant,89192.0,89.192,Proxy: state of birth
SE,1980,emigrant,333133.0,333.133,Proxy: state of birth
SE,1980,stayer,865312.0,865.312,Proxy: state of birth
SP,1980,immigrant,5844853.0,5844.853,Proxy: state of birth
SP,1980,emigrant,1374064.0,1374.064,Proxy: state of birth
SP,1980,stayer,15464001.0,15464.001,Proxy: state of birth
TO,1980,immigrant,0.0,0.0,Proxy: state of birth
TO,1980,emigrant,0.0,0.0,Proxy: state of birth
TO,1980,stayer,0.0,0.0,Proxy: state of birth
AC,1991,immigrant,12979.498864300005,12.979498864300005,Five-year state of residence
AC,1991,emigrant,14343.131646900008,14.343131646900009,Five-year state of residence
AC,1991,stayer,325418.0502576967,325.41805025769673,Five-year state of residence
AL,1991,immigrant,60881.451872099846,60.881451872099845,Five-year state of residence
AL,1991,emigrant,112622.67077679993,112.62267077679994,Five-year state of residence
AL,1991,stayer,1969040.8989513805,1969.0408989513805,Five-year state of residence
AM,1991,immigrant,59365.720906000344,59.36572090600034,Five-year state of residence
AM,1991,emigrant,44279.35234700002,44.27935234700002,Five-year state of residence
AM,1991,stayer,1679520.4055053487,1679.5204055053487,Five-year state of residence
AP,1991,immigrant,23641.015678300166,23.641015678300167,Five-year state of residence
AP,1991,emigrant,7147.393049899994,7.1473930498999945,Five-year state of residence
AP,1991,stayer,213545.2292354952,213.5452292354952,Five-year state of residence
BA,1991,immigrant,186614.36436710032,186.61436436710034,Five-year state of residence
BA,1991,emigrant,469076.44472919946,469.07644472919947,Five-year state of residence
BA,1991,stayer,9626280.802944653,9626.280802944653,Five-year state of residence
CE,1991,immigrant,121652.28913589989,121.65228913589989,Five-year state of residence
CE,1991,emigrant,245164.48198509996,245.16448198509997,Five-year state of residence
CE,1991,stayer,5036966.087199202,5036.966087199202,Five-year state of residence
DF,1991,immigrant,195220.0511297016,195.2200511297016,Five-year state of residence
DF,1991,emigrant,143673.5921346998,143.67359213469982,Five-year state of residence
