state,period,group,population,population_thousands,proxy
AC,pooled,stayer,1723171.4816282317,1723.1714816282317,Person-weighted census pool
AL,pooled,immigrant,408858.25256003864,408.85825256003864,Person-weighted census pool
AL,pooled,emigrant,1221042.274556378,1221.0422745563778,Person-weighted census pool
AL,pooled,stayer,9584206.730236582,9584.206730236583,Person-weighted census pool
AM,pooled,immigrant,388940.02871475776,388.9400287147578,Person-weighted census pool
AM,pooled,emigrant,317961.9305733166,317.9619305733166,Person-weighted census pool
AM,pooled,stayer,8539085.937858103,8539.085937858103,Person-weighted census pool
AP,pooled,immigrant,186395.1247677009,186.3951247677009,Person-weighted census pool
AP,pooled,emigrant,57590.504562647846,57.590504562647844,Person-weighted census pool
AP,pooled,stayer,1239845.6552921697,1239.8456552921696,Person-weighted census pool
BA,pooled,immigrant,1356045.0252586901,1356.0450252586902,Person-weighted census pool
BA,pooled,emigrant,4160440.303526774,4160.440303526774,Person-weighted census pool
BA,pooled,stayer,45719828.42499236,45719.82842499236,Person-weighted census pool
CE,pooled,immigrant,732646.8734149066,732.6468734149065,Person-weighted census pool
CE,pooled,emigrant,2192933.495510385,2192.933495510385,Person-weighted census pool
CE,pooled,stayer,26103337.757815868,26103.33775781587,Person-weighted census pool
DF,pooled,immigrant,1770935.438875889,1770.9354388758888,Person-weighted census pool
DF,pooled,emigrant,577074.4826142287,577.0744826142287,Person-weighted census pool
DF,pooled,stayer,5192724.431482257,5192.724431482257,Person-weighted census pool
ES,pooled,immigrant,894458.5733154591,894.458573315459,Person-weighted census pool
ES,pooled,emigrant,1092045.379443486,1092.045379443486,Person-weighted census pool
ES,pooled,stayer,9911396.42533715,9911.39642533715,Person-weighted census pool
GO,pooled,immigrant,2381121.5881180945,2381.1215881180947,Person-weighted census pool
GO,pooled,emigrant,1074297.6428987626,1074.2976428987627,Person-weighted census pool
GO,pooled,stayer,15713053.586517982,15713.053586517983,Person-weighted census pool
MA,pooled,immigrant,1039961.8956469973,1039.9618956469972,Person-weighted census pool
MA,pooled,emigrant,1481467.6745432066,1481.4676745432066,Person-weighted census pool
MA,pooled,stayer,18752493.286670957,18752.493286670957,Person-weighted census pool
MG,pooled,immigrant,2182581.360947764,2182.581360947764,Person-weighted census pool
MG,pooled,emigrant,7453659.312492379,7453.659312492379,Person-weighted census pool
MG,pooled,stayer,64280687.312996306,64280.687312996306,Person-weighted census pool
MS,pooled,immigrant,796424.7859508202,796.4247859508203,Person-weighted census pool
MS,pooled,emigrant,398628.95402133337,398.62895402133336,Person-weighted census pool
MS,pooled,stayer,5538951.4782948755,5538.951478294875,Person-weighted census pool
MT,pooled,immigrant,1393763.9629014472,1393.7639629014473,Person-weighted census pool
MT,pooled,emigrant,616774.9797951463,616.7749797951462,Person-weighted census pool
MT,pooled,stayer,6924659.752122842,6924.659752122841,Person-weighted census pool
PA,pooled,immigrant,1193618.719429757,1193.618719429757,Person-weighted census pool
PA,pooled,emigrant,927369.3878870518,927.3693878870517,Person-weighted census pool
PA,pooled,stayer,18522267.855505683,18522.26785550568,Person-weighted census pool
PB,pooled,immigrant,555914.321039586,555.914321039586,Person-weighted census pool
PB,pooled,emigrant,1886417.3560251736,1886.4173560251736,Person-weighted census pool
PB,pooled,stayer,12637994.847822696,12637.994847822696,Person-weighted census pool
PE,pooled,immigrant,1142275.1851730861,1142.2751851730861,Person-weighted census pool
PE,pooled,emigrant,2951650.393409743,2951.650393409743,Person-weighted census pool
PE,pooled,stayer,28534748.2269858,28534.7482269858,Person-weighted census pool
PI,pooled,immigrant,487073.7813642573,487.0737813642573,Person-weighted census pool
PI,pooled,emigrant,1195874.3527678323,1195.8743527678323,Person-weighted census pool
PI,pooled,stayer,9965688.300579749,9965.68830057975,Person-weighted census pool
PR,pooled,immigrant,4309131.135390087,4309.131135390087,Person-weighted census pool
PR,pooled,emigrant,2679643.4307320784,2679.6434307320783,Person-weighted census pool
PR,pooled,stayer,31424302.868382864,31424.302868382863,Person-weighted census pool
RJ,pooled,immigrant,5023798.708644854,5023.798708644854,Person-weighted census pool
RJ,pooled,emigrant,1643876.3187967853,1643.8763187967854,Person-weighted census pool
RJ,pooled,stayer,50382519.8292011,50382.519829201105,Person-weighted census pool
RN,pooled,immigrant,439469.2303726501,439.4692303726501,Person-weighted census pool
RN,pooled,emigrant,842862.4375604643,842.8624375604643,Person-weighted census pool
RN,pooled,stayer,9425629.042030169,9425.629042030168,Person-weighted census pool
RO,pooled,immigrant,624203.7761437387,624.2037761437387,Person-weighted census pool
RO,pooled,emigrant,242671.4976579206,242.6714976579206,Person-weighted census pool
RO,pooled,stayer,3112982.609487742,3112.982609487742,Person-weighted census pool
RR,pooled,immigrant,138503.7239090215,138.5037239090215,Person-weighted census pool
RR,pooled,emigrant,41517.83890917645,41.51783890917645,Person-weighted census pool
RR,pooled,stayer,783836.6277756535,783.8366277756535,Person-weighted census pool
RS,pooled,immigrant,607282.9754253651,607.2829754253652,Person-weighted census pool
RS,pooled,emigrant,1895870.0593590096,1895.8700593590097,Person-weighted census pool
RS,pooled,stayer,37214160.85878787,37214.16085878787,Person-weighted census pool
SC,pooled,immigrant,1342921.7387750675,1342.9217387750675,Person-weighted census pool
SC,pooled,emigrant,1337476.2221298243,1337.4762221298242,Person-weighted census pool
SC,pooled,stayer,17703303.04173444,17703.303041734438,Person-weighted census pool
SE,pooled,immigrant,294420.18132704846,294.42018132704845,Person-weighted census pool
SE,pooled,emigrant,664662.975575655,664.662975575655,Person-weighted census pool
SE,pooled,stayer,5860488.005057661,5860.488005057661,Person-weighted census pool
SP,pooled,immigrant,11901225.317773739,11901.225317773738,Person-weighted census pool
SP,pooled,emigrant,4655798.400171814,4655.798400171813,Person-weighted census pool
SP,pooled,stayer,118262219.07357106,118262.21907357106,Person-weighted census pool
TO,pooled,immigrant,263461.23051094305,263.46123051094304,Person-weighted census pool
TO,pooled,emigrant,231360.93718864865,231.36093718864865,Person-weighted census pool
TO,pooled,stayer,2514228.5534319323,2514.228553431932,Person-weighted census pool
