state,period,group,dimension,category,weighted_population,valid_dimension_population,percent
AP,1970,stayer,age,25-34,5635.0,56933.0,9.897598932078056
AP,1970,stayer,age,35-44,3584.0,56933.0,6.295118823880702
AP,1970,stayer,age,45-54,1984.0,56933.0,3.4847979203625314
AP,1970,stayer,age,55-64,1190.0,56933.0,2.090176171991639
AP,1970,stayer,age,65+,643.0,56933.0,1.1293977131013648
BA,1970,immigrant,age,5-14,52772.0,250079.0,21.102131726374466
BA,1970,immigrant,age,15-24,57361.0,250079.0,22.937151860012236
BA,1970,immigrant,age,25-34,48603.0,250079.0,19.435058521507205
BA,1970,immigrant,age,35-44,38247.0,250079.0,15.29396710639438
BA,1970,immigrant,age,45-54,26152.0,250079.0,10.457495431443665
BA,1970,immigrant,age,55-64,16154.0,250079.0,6.459558779425701
BA,1970,immigrant,age,65+,10790.0,250079.0,4.31463657484235
BA,1970,emigrant,age,5-14,100808.0,836384.0,12.052836974404102
BA,1970,emigrant,age,15-24,201046.0,836384.0,24.037523434212037
BA,1970,emigrant,age,25-34,198708.0,836384.0,23.757986762061446
BA,1970,emigrant,age,35-44,148358.0,836384.0,17.738024639400084
BA,1970,emigrant,age,45-54,91596.0,836384.0,10.951429008685006
BA,1970,emigrant,age,55-64,58097.0,836384.0,6.946211309637678
BA,1970,emigrant,age,65+,37771.0,836384.0,4.515987871599648
BA,1970,stayer,age,5-14,2079230.0,5960549.0,34.88319616196428
BA,1970,stayer,age,15-24,1407624.0,5960549.0,23.615677012302054
BA,1970,stayer,age,25-34,846409.0,5960549.0,14.200185251392112
BA,1970,stayer,age,35-44,651824.0,5960549.0,10.93563696901074
BA,1970,stayer,age,45-54,457307.0,5960549.0,7.672229521139747
BA,1970,stayer,age,55-64,299479.0,5960549.0,5.02435262255205
BA,1970,stayer,age,65+,218676.0,5960549.0,3.66872246163902
CE,1970,immigrant,age,5-14,27735.0,140562.0,19.73150638152559
CE,1970,immigrant,age,15-24,29662.0,140562.0,21.102431667164666
CE,1970,immigrant,age,25-34,23855.0,140562.0,16.971158634623865
CE,1970,immigrant,age,35-44,20045.0,140562.0,14.260610975939443
CE,1970,immigrant,age,45-54,16149.0,140562.0,11.48888035173091
CE,1970,immigrant,age,55-64,12049.0,140562.0,8.572018041860531
CE,1970,immigrant,age,65+,11067.0,140562.0,7.873393947154992
CE,1970,emigrant,age,5-14,67293.0,500959.0,13.432835820895523
CE,1970,emigrant,age,15-24,115864.0,500959.0,23.12843965274603
CE,1970,emigrant,age,25-34,111409.0,500959.0,22.239145319277625
CE,1970,emigrant,age,35-44,86143.0,500959.0,17.195618803135584
CE,1970,emigrant,age,45-54,54721.0,500959.0,10.923249208019019
CE,1970,emigrant,age,55-64,37227.0,500959.0,7.431147059939037
CE,1970,emigrant,age,65+,28302.0,500959.0,5.649564135987177
CE,1970,stayer,age,5-14,1204971.0,3462075.0,34.80487857715387
CE,1970,stayer,age,15-24,834759.0,3462075.0,24.111522713979333
CE,1970,stayer,age,25-34,498371.0,3462075.0,14.39515319569911
CE,1970,stayer,age,35-44,361154.0,3462075.0,10.431720861044315
CE,1970,stayer,age,45-54,252845.0,3462075.0,7.303279102850169
CE,1970,stayer,age,55-64,170266.0,3462075.0,4.918033260400193
CE,1970,stayer,age,65+,139709.0,3462075.0,4.035412288873003
DF,1970,immigrant,age,5-14,91661.0,398544.0,22.998966237103055
DF,1970,immigrant,age,15-24,113113.0,398544.0,28.38155887430246
DF,1970,immigrant,age,25-34,91843.0,398544.0,23.04463246216227
DF,1970,immigrant,age,35-44,55046.0,398544.0,13.811774860492191
DF,1970,immigrant,age,45-54,26900.0,398544.0,6.749568429081858
DF,1970,immigrant,age,55-64,13720.0,398544.0,3.4425308121562486
DF,1970,immigrant,age,65+,6261.0,398544.0,1.570968324701915
DF,1970,emigrant,age,5-14,8348.0,24360.0,34.26929392446634
DF,1970,emigrant,age,15-24,4398.0,24360.0,18.054187192118228
DF,1970,emigrant,age,25-34,5499.0,24360.0,22.573891625615765
DF,1970,emigrant,age,35-44,3486.0,24360.0,14.310344827586206
DF,1970,emigrant,age,45-54,1578.0,24360.0,6.477832512315271
DF,1970,emigrant,age,55-64,659.0,24360.0,2.7052545155993433
DF,1970,emigrant,age,65+,392.0,24360.0,1.6091954022988506
DF,1970,stayer,age,5-14,45281.0,45940.0,98.56552024379626
DF,1970,stayer,age,15-24,356.0,45940.0,0.7749238136700044
DF,1970,stayer,age,25-34,163.0,45940.0,0.3548106225511537
DF,1970,stayer,age,35-44,54.0,45940.0,0.1175446234218546
DF,1970,stayer,age,45-54,60.0,45940.0,0.13060513713539398
DF,1970,stayer,age,55-64,17.0,45940.0,0.037004788855028295
DF,1970,stayer,age,65+,9.0,45940.0,0.0195907705703091
ES,1970,immigrant,age,5-14,33673.0,181751.0,18.526995724920358
ES,1970,immigrant,age,15-24,42528.0,181751.0,23.399045947477592
ES,1970,immigrant,age,25-34,31910.0,181751.0,17.556987306809866
ES,1970,immigrant,age,35-44,28839.0,181751.0,15.867312972143207
ES,1970,immigrant,age,45-54,20435.0,181751.0,11.24340443793982
ES,1970,immigrant,age,55-64,14176.0,181751.0,7.799681982492531
ES,1970,immigrant,age,65+,10190.0,181751.0,5.606571628216626
ES,1970,emigrant,age,5-14,61785.0,323265.0,19.112802190153587
ES,1970,emigrant,age,15-24,78578.0,323265.0,24.307611402409787
ES,1970,emigrant,age,25-34,67454.0,323265.0,20.866471780118477
ES,1970,emigrant,age,35-44,54056.0,323265.0,16.721884521986606
ES,1970,emigrant,age,45-54,32060.0,323265.0,9.917559896679196
ES,1970,emigrant,age,55-64,18276.0,323265.0,5.65356595981625
ES,1970,emigrant,age,65+,11056.0,323265.0,3.420104248836094
ES,1970,stayer,age,5-14,435899.0,1167607.0,37.33268128745374
ES,1970,stayer,age,15-24,288462.0,1167607.0,24.70540173191836
ES,1970,stayer,age,25-34,154954.0,1167607.0,13.271074942168042
ES,1970,stayer,age,35-44,126480.0,1167607.0,10.832411933124758
ES,1970,stayer,age,45-54,78716.0,1167607.0,6.741651942819802
ES,1970,stayer,age,55-64,49292.0,1167607.0,4.22162594092019
ES,1970,stayer,age,65+,33804.0,1167607.0,2.8951522215951084
GO,1970,immigrant,age,5-14,88725.0,509526.0,17.41324289633895
GO,1970,immigrant,age,15-24,118434.0,509526.0,23.243956147478244
GO,1970,immigrant,age,25-34,105264.0,509526.0,20.659200904369943
GO,1970,immigrant,age,35-44,84182.0,509526.0,16.521629907011615
GO,1970,immigrant,age,45-54,56366.0,509526.0,11.06243842316192
GO,1970,immigrant,age,55-64,35216.0,509526.0,6.911521688785263
GO,1970,immigrant,age,65+,21339.0,509526.0,4.188010032854065
GO,1970,emigrant,age,5-14,50757.0,206229.0,24.611960490522673
GO,1970,emigrant,age,15-24,57338.0,206229.0,27.803073282613017
GO,1970,emigrant,age,25-34,41899.0,206229.0,20.316735279713328
GO,1970,emigrant,age,35-44,27840.0,206229.0,13.499556318461517
GO,1970,emigrant,age,45-54,15435.0,206229.0,7.484398411474623
GO,1970,emigrant,age,55-64,8668.0,206229.0,4.203094618118693
GO,1970,emigrant,age,65+,4292.0,206229.0,2.0811815990961504
GO,1970,stayer,age,5-14,758183.0,1931388.0,39.25586158762506
GO,1970,stayer,age,15-24,483255.0,1931388.0,25.021124704098813
GO,1970,stayer,age,25-34,277037.0,1931388.0,14.343932964272327
GO,1970,stayer,age,35-44,192283.0,1931388.0,9.955689897628027
GO,1970,stayer,age,45-54,117466.0,1931388.0,6.081947283508026
GO,1970,stayer,age,55-64,65324.0,1931388.0,3.382230810173823
GO,1970,stayer,age,65+,37840.0,1931388.0,1.9592127526939176
MA,1970,immigrant,age,5-14,42380.0,288129.0,14.708689510601154
MA,1970,immigrant,age,15-24,71074.0,288129.0,24.667423272214876
MA,1970,immigrant,age,25-34,57866.0,288129.0,20.083365437009117
MA,1970,immigrant,age,35-44,48409.0,288129.0,16.801155038194697
MA,1970,immigrant,age,45-54,32678.0,288129.0,11.341447754304495
MA,1970,immigrant,age,55-64,22491.0,288129.0,7.805878616869527
MA,1970,immigrant,age,65+,13231.0,288129.0,4.592040370806132
MA,1970,emigrant,age,5-14,36825.0,213522.0,17.246466406271953
MA,1970,emigrant,age,15-24,50911.0,213522.0,23.84344470359026
MA,1970,emigrant,age,25-34,44595.0,213522.0,20.88543569280917
MA,1970,emigrant,age,35-44,33832.0,213522.0,15.84473731044108
MA,1970,emigrant,age,45-54,21926.0,213522.0,10.268731090941449
MA,1970,emigrant,age,55-64,15287.0,213522.0,7.159449611749609
MA,1970,emigrant,age,65+,10146.0,213522.0,4.751735184196476
MA,1970,stayer,age,5-14,811700.0,2190157.0,37.06127003680558
MA,1970,stayer,age,15-24,530378.0,2190157.0,24.216437451744326
MA,1970,stayer,age,25-34,324479.0,2190157.0,14.815330590455387
MA,1970,stayer,age,35-44,232484.0,2190157.0,10.61494678235396
MA,1970,stayer,age,45-54,143343.0,2190157.0,6.544873267076287
MA,1970,stayer,age,55-64,90404.0,2190157.0,4.12774061402904
MA,1970,stayer,age,65+,57369.0,2190157.0,2.6194012575354186
MG,1970,immigrant,age,5-14,74779.0,361709.0,20.673801315422065
MG,1970,immigrant,age,15-24,79203.0,361709.0,21.896883959204775
MG,1970,immigrant,age,25-34,65574.0,361709.0,18.128937903121017
MG,1970,immigrant,age,35-44,57615.0,361709.0,15.928550298720795
MG,1970,immigrant,age,45-54,38845.0,361709.0,10.739295953376885
MG,1970,immigrant,age,55-64,25888.0,361709.0,7.157134602677843
MG,1970,immigrant,age,65+,19805.0,361709.0,5.475395967476618
MG,1970,emigrant,age,5-14,342887.0,2228435.0,15.386897082481651
MG,1970,emigrant,age,15-24,526449.0,2228435.0,23.624157760939852
MG,1970,emigrant,age,25-34,469274.0,2228435.0,21.058455822135265
MG,1970,emigrant,age,35-44,379849.0,2228435.0,17.045549903856294
MG,1970,emigrant,age,45-54,254470.0,2228435.0,11.41922470253788
MG,1970,emigrant,age,55-64,155096.0,2228435.0,6.959861965908811
MG,1970,emigrant,age,65+,100410.0,2228435.0,4.505852762140246
MG,1970,stayer,age,5-14,3179387.0,9389024.0,33.86280618730978
MG,1970,stayer,age,15-24,2274355.0,9389024.0,24.22355081848763
